symbol,market_cap
HPIL,204.47
HPL,3060.7
HRHNEXT,30.1
HSCL,18821.85
HTMEDIA,636.57
HUBTOWN,1143.08
HUDCO,56633.75
HUHTAMAKI,2515.64
HYBRIDFIN,36.24
IBLFL,133.05
IBREALEST,8659.86
IBULHSGFIN,8563.76
IBULPP,2004.28
ICDSLTD,46.83
ICEMAKE,1367.08
ICICIB22,18824.01
ICICIBANK,805084.3
ICICIGI,86829.04
ICICIPRULI,86535.27
ICIL,7285.43
ICRA,5660.45
IDBI,93105.05
IDEA,114715.31
IDEAFORGE,3445.86
IDFC,19383.81
IDFCFIRSTB,58189.37
IDFNIFTYET,3.66
IEL,253.87
IEML,626.94
IEX,16181.55
IFBAGRO,421.52
IFBIND,6442.49
IFCI,16368.92
IFGLEXPOR,2210.11
IGARASHI,1665.34
IGL,32949.04
IGPL,1761.47
IIFL,20076.55
IIFLSEC,6748.02
IITL,383.26
IKIO,2241.91
IMAGICAA,4121.63
IMFA,4332.51
IMPAL,1348.34
IMPEXFERRO,33.24
INCREDIBLE,217.87
INDBANK,223.89
INDGN,13638.33
INDHOTEL,87754.6
INDIACEM,6782.1
INDIAGLYCO,2811.3
INDIAMART,15572.09
INDIANB,73463.42
INDIANCARD,159.16
INDIANHUME,2100.95
INDIASHLTR,7782.62
INDIFRA,25.08
INDIGO,163082.21
INDIGOPNTS,6481.22
INDIGRID,10618.77
INDNIPPON,1823.06
INDOAMIN,873.47
INDOBORAX,523.39
INDOCO,3004.68
INDORAMA,1111.04
INDOSTAR,3335.88
INDOTECH,1771.73
INDOTHAI,292.65
INDOWIND,255.67
INDRAMEDCO,2362.41
INDSWFTLAB,663.25
INDSWFTLTD,115.1
INDTERRAIN,287.9
INDUSINDBK,119608.51
INDUSTOWER,90010.89
INFIBEAM,8927.44
INFINIUM,306.15
INFOBEAN,1123.28
INFOLLION,203.61
INFOMEDIA,32.68
INFRABEES,181.97
INFRAIETF,129.46
INFY,627039.99
INGERRAND,14713.84
INM,178.38
INNOVACAP,2832.63
INNOVANA,1056.47
INNOVATIVE,10.79
INOXGREEN,4249.95
INOXINDIA,12253.07
INOXWIND,18116.22
INSECTICID,2100.26
INSPIRE,43.01
INTELLECT,14410.55
INTENTECH,333.24
INTLCONV,529.66
INVENTURE,230.16
IOB,125039.46
IOC,235358.68
IOLCP,2389.31
IONEXCHANG,7524
IPCALAB,28773.86
IPL,2617.67
IPSL,115.3
IRB,38999.86
IRBINVIT,3789.5
IRCON,25191.71
IRCTC,81196
IREDA,47296.6
IRFC,226202.77
IRIS,425.56
IRISDOREME,636.25
IRMENERGY,1928.57
ISEC,23827.91
ISFT,201.86
ISGEC,9257.37
ISHAN,45.41
ISMTLTD,3752.96
IT,196.65
ITALIANE,50.02
ITBEES,2582.93
ITC,528603.11
ITDC,6617.97
ITDCEM,8124.69
ITETF,58.42
ITETFADD,38.61
ITI,29234.99
ITIETF,439.03
IVC,385.32
IVP,203.53
IVZINGOLD,116.13
IVZINNIFTY,85.63
IWEL,8493.54
IXIGO,7096.04
IZMO,455.02
JAGRAN,1982.83
JAGSNPHARM,901.63
JAIBALAJI,15242.98
JAICORPLTD,6732
JAINAM,152.61
JAIPURKURT,57.03
JALAN,5.52
JAMNAAUTO,5070.55
JASH,2865.25
JAYAGROGN,1002
JAYBARMARU,1153.95
JAYNECOIND,4408.33
JAYSREETEA,323.43
